month;year;precipitation;atmospheric_demand
9;1966;34.5;111.0000014
10;1966;127;56.99999928
11;1966;89.30000305;20.99999964
12;1966;4.099999905;27.00000107
1;1967;27.70000076;18.00000072
2;1967;51.40000153;41.99999928
3;1967;68.09999847;75
4;1967;68.70000458;87.00000286
5;1967;42.60000229;117.0000029
6;1967;14.80000019;135
7;1967;21.30000114;180
8;1967;35.29999924;150
9;1967;32.10000229;98.99999857
10;1967;84.09999847;72.00000286
11;1967;265.1000061;36.00000143
12;1967;8.400000572;12.00000018
1;1968;1.5;24.00000036
2;1968;62.90000153;41.99999928
3;1968;64.59999847;60
4;1968;63.90000153;93.00000429
5;1968;110.2000046;111.0000014
6;1968;84.90000153;141.0000086
7;1968;17.89999962;165
8;1968;141.6999969;135
9;1968;39.70000076;102.0000029
10;1968;6.700000286;75
11;1968;194.9000092;36.00000143
12;1968;69.09999847;27.00000107
1;1969;76.40000153;27.00000107
2;1969;89.09999847;27.00000107
3;1969;175.6000061;63.00000429
4;1969;204.4000092;83.99999857
5;1969;87.30000305;117.0000029
6;1969;82.5;129.0000057
7;1969;67;171.0000086
8;1969;42.70000076;141.0000086
9;1969;114.2000046;90
10;1969;98.40000153;63.00000429
11;1969;65.30000305;30
12;1969;31.80000114;15
1;1970;103.5999985;30
2;1970;7.5;41.99999928
3;1970;34.20000076;51.00000143
4;1970;16.70000076;83.99999857
5;1970;93.90000153;113.9999986
6;1970;93.09999847;152.9999971
7;1970;23.5;171.0000086
8;1970;56.40000153;144.0000057
9;1970;3.5;117.0000029
10;1970;97.5;54.00000215
11;1970;51.5;41.99999928
12;1970;103.5;9.000000358
1;1971;96.30000305;20.99999964
2;1971;15.90000057;39.00000215
3;1971;66.20000458;54.00000215
4;1971;130.4000092;87.00000286
5;1971;184.3000031;98.99999857
6;1971;83.80000305;132.0000029
7;1971;64.40000153;171.0000086
8;1971;37.29999924;150
9;1971;108.0999985;102.0000029
10;1971;63.70000076;66.00000143
11;1971;101.4000015;24.00000036
12;1971;159.9000092;20.99999964
1;1972;102.9000015;20.99999964
2;1972;84.80000305;39.00000215
3;1972;57.70000076;66.00000143
4;1972;43.90000153;81.00000143
5;1972;108.4000015;105
6;1972;160;132.0000029
7;1972;82.30000305;165
8;1972;77;132.0000029
9;1972;209.6000061;87.00000286
10;1972;75.90000153;56.99999928
11;1972;80.09999847;36.00000143
12;1972;44.10000229;18.00000072
1;1973;35.40000153;24.00000036
2;1973;7.300000191;39.00000215
3;1973;12.40000057;68.99999857
4;1973;50.60000229;87.00000286
5;1973;55.70000076;120
6;1973;131.3000031;137.9999971
7;1973;56.40000153;159.0000057
8;1973;49.60000229;144.0000057
9;1973;48.20000076;98.99999857
10;1973;18.70000076;60
11;1973;44.70000076;33.00000072
12;1973;152.9000092;20.99999964
1;1974;34.40000153;24.00000036
2;1974;39.40000153;36.00000143
3;1974;224.8000031;56.99999928
4;1974;64.30000305;81.00000143
5;1974;74.80000305;117.0000029
6;1974;62.10000229;141.0000086
7;1974;72.5;165
8;1974;114.2000046;150
9;1974;121.9000015;96.00000143
10;1974;24.89999962;45
11;1974;45;30
12;1974;8.400000572;18.00000072
1;1975;38.79999924;20.99999964
2;1975;47.60000229;41.99999928
